# sdfds
#
data4d.txt
Categorization
Numerical,Numerical,Numerical,Numerical,Label
Col.1,Col.2,Col.3,Col.4,Label
-1.524188,-0.440454,2.020064,-0.846562,?,(Learn)
0.57023,-3.169862,-1.702714,1.241469,?,(Learn)
-0.774161,0.32481,-1.223051,0.642321,?,(Learn)
2.534022,-1.128885,-2.017971,-0.413357,?,(Learn)
-2.296662,0.26537,0.671148,2.701656,?,(Learn)
0.096553,-1.045226,0.42552,1.962303,?,(Learn)
-1.298594,0.484295,-0.130951,-1.74226,?,(Learn)
1.875613,-1.826198,-0.895972,1.062527,?,(Learn)
-2.27816,-0.651255,-5.612311,0.533427,?,(Learn)
0.797503,-0.01056,0.428669,1.114479,?,(Learn)
0.738576,-1.587485,0.406292,-1.767618,?,(Learn)
-1.996171,0.987056,2.857623,0.922046,?,(Learn)
0.898321,0.878254,-1.15909,-0.868549,?,(Learn)
0.700418,-1.737268,1.799986,1.902196,?,(Learn)
2.179484,-1.166459,-0.881549,-1.308742,?,(Learn)
0.736911,-0.44246,2.761816,0.530153,?,(Learn)
-1.2768,-0.627774,1.369304,1.323455,?,(Learn)
0.005835,0.462174,-3.095341,-0.119382,?,(Learn)
1.048872,-0.91339,-0.876713,0.325777,?,(Learn)
-0.31434,-0.715491,0.087378,-0.438748,?,(Learn)
-0.135378,1.366402,-1.683137,-0.880969,?,(Learn)
0.962188,-0.478301,-1.926461,0.779858,?,(Learn)
1.851972,-2.337645,-2.058281,0.623686,?,(Learn)
-1.140483,-1.999792,-0.62721,-1.481129,?,(Learn)
0.560035,-3.551299,1.144699,0.266869,?,(Learn)
-2.200896,-1.432971,-2.15394,-2.331916,?,(Learn)
1.717299,0.671906,0.590043,3.177149,?,(Learn)
-1.178184,1.215752,-1.392852,-1.145329,?,(Learn)
-0.056088,1.717057,1.307004,1.792724,?,(Learn)
-0.101306,-0.642983,-2.031809,0.056876,?,(Learn)
-0.166021,-0.208365,-0.691924,-0.416011,?,(Learn)
0.662901,-0.097211,0.387042,1.06552,?,(Learn)
-0.191353,-0.54169,-0.656757,-1.104094,?,(Learn)
0.139105,-0.373618,-0.072145,-0.0559,?,(Learn)
2.068279,-1.568179,2.74545,-1.144783,?,(Learn)
1.544181,-1.108584,-0.532394,-0.478236,?,(Learn)
-0.59678,-1.310213,0.645414,0.058871,?,(Learn)
0.679295,-1.39178,0.998671,1.712854,?,(Learn)
